Date,Customer_ID,Customer_first_name,Customer_last_name,email,phone_number,Order_ID,Product_ID,Product_Category,Quantity_Sold,Price_per_Unit,Discount,City
2024-02-11,1402,Shannon,Harris,carolcasey@example.net,0421991895,115,459,Groceries,5,133.07,59.14,Houston
2024-03-08,1223,Nancy,Lambert,gmcneil@example.org,3032066562,116,279,Books,5,763.86,10.42,San Antonio
2024-07-28,1183,Chelsea,Schultz,joseph58@example.org,4880018216,117,263,Furniture,1,309.95,67.43,Dallas
2023-10-24,1957,Haley,Conner,xhess@example.org,5271523325,118,191,Toys,6,466.57,4.29,San Diego
2024-06-01,1002,Eric,Bailey,allison70@example.com,3742208991,119,100,Toys,3,61.3,51.51,Los Angeles
2024-01-31,1710,Tami,Hill,angela80@example.com,6402339911,120,206,Groceries,3,148.17,30.55,Los Angeles
2024-08-22,1583,Laura,Ferguson,atkinsonpriscilla@example.net,1737715130,121,389,Electronics,8,317.58,34.36,San Diego
2024-03-22,1143,Daniel,Anderson,douglasgardner@example.org,0543710980,122,428,Toys,1,927.49,68.42,San Diego
2024-02-20,1304,Kyle,Morrison,debra72@example.net,5030487088,123,220,Groceries,9,968.21,34.39,Phoenix
2024-05-27,1877,Jennifer,Edwards,elizabethchristian@example.net,1558039941,124,498,Groceries,9,1315.67,86.25,Philadelphia
2024-08-19,1745,Dustin,Jones,damongreen@example.com,6036587408,125,238,Electronics,4,1170.39,65.09,New York
2024-05-19,1580,Casey,Reeves,conleyjonathan@example.net,2435091229,126,471,Books,5,174.95,88.06,Chicago
2024-04-14,1699,Christopher,Doyle,dennismoore@example.org,3790618165,127,418,Beauty,5,701.11,39.22,Houston
2024-07-11,1831,Brian,Price,williamharris@example.org,0485572976,128,324,Books,9,1457.42,22.07,Dallas
2024-02-10,1763,Shane,Flores,jennifer63@example.net,9163238287,129,257,Toys,8,1369.55,21.81,Houston
2023-11-22,1736,Frank,Johnson,monique66@example.org,6112800027,130,184,Furniture,2,412.7,20.13,San Diego
2023-10-21,1393,Nicholas,Higgins,ovelazquez@example.net,0275755526,131,344,Beauty,8,350.69,20.0,Houston
2023-10-14,1541,Thomas,Osborne,jeffreyjones@example.net,7986629036,132,480,Furniture,2,211.66,23.48,New York
2024-08-05,1202,Christopher,Cantrell,marshalltoni@example.org,6960202853,133,450,Clothing,2,1383.45,45.33,Philadelphia
2024-01-16,1450,Edward,Moody,ugarcia@example.org,6986485791,134,121,Furniture,8,1162.62,35.34,Chicago
2023-10-18,1009,Matthew,Mcfarland,turnerjeffrey@example.net,8243187736,135,358,Books,9,1253.12,86.54,Los Angeles
2024-04-16,1213,Darryl,Obrien,barbara63@example.com,5437671083,136,161,Sports,8,955.69,19.32,Phoenix
2023-10-26,1472,Jeffery,Small,garciaamy@example.net,4682495224,137,289,Books,2,250.99,56.58,Philadelphia
2024-01-08,1581,Barbara,Martin,jordanroy@example.com,8915108565,138,203,Groceries,5,1162.89,65.27,San Jose
2024-09-15,1250,Aaron,Cannon,butlermichael@example.net,1820285263,139,466,Furniture,9,967.05,49.54,San Antonio
2023-10-16,1689,Rebecca,Mack,jaclyn46@example.com,6369546553,140,104,Books,9,838.54,61.62,New York
2024-03-12,1129,Cynthia,Lopez,duranrobert@example.net,4920315863,141,447,Toys,8,685.44,34.36,Phoenix
2024-04-19,1536,Haley,Chung,jamie87@example.net,3483236698,142,232,Groceries,4,1445.7,55.16,Dallas
2024-01-11,1765,John,Morris,jespinoza@example.net,7166549985,143,355,Groceries,2,53.1,43.31,New York
2023-10-14,1889,Marvin,Vaughn,knappjonathan@example.org,5690428589,144,147,Sports,4,166.72,28.56,Phoenix
2024-09-09,1680,Michael,Ibarra,wbender@example.net,9001854059,145,420,Books,8,221.04,76.13,San Jose
2023-12-04,1819,Vincent,Kent,hoodtimothy@example.org,5283009879,146,328,Books,2,1147.07,82.21,Los Angeles
2024-08-07,1292,Megan,Taylor,hschmidt@example.com,8286117894,147,418,Books,2,151.45,62.76,San Jose
2024-07-29,1302,Natasha,Mayer,micheal95@example.com,0395824149,148,134,Clothing,3,900.45,78.79,San Diego
2024-08-23,1327,Charles,Lee,ljackson@example.com,8507151972,149,179,Groceries,4,118.67,28.09,Houston
2024-09-25,1553,Jasmine,Rios,callahangloria@example.org,1340946684,150,325,Clothing,9,1400.13,87.86,San Diego
2024-09-15,1888,Paul,Medina,riverajessica@example.org,8987752857,151,127,Clothing,2,173.79,68.36,Houston
2024-03-10,1283,Daniel,White,nmarshall@example.net,8650801409,152,171,Books,5,684.34,46.3,Philadelphia
2024-05-02,1673,Julia,Perez,sheri18@example.org,2273031598,153,108,Sports,9,334.79,69.21,Los Angeles
2024-03-20,1039,Megan,Moore,simmonsjessica@example.net,9671917441,154,310,Groceries,9,125.1,59.37,Chicago
2024-09-15,1714,Angel,Brewer,baileybenjamin@example.net,7445447317,155,342,Clothing,6,1474.94,63.48,Dallas
2024-07-14,1098,Ashley,Harper,meyerdaniel@example.com,1634986259,156,441,Books,8,432.49,79.1,Los Angeles
2024-07-16,1762,Jennifer,Smith,michael58@example.org,0806635901,157,310,Furniture,8,558.09,79.39,Los Angeles
2024-02-16,1410,Kimberly,Guzman,jeffreyferguson@example.com,4697069034,158,354,Sports,8,1161.59,83.01,San Jose
2024-09-22,1464,David,Andrews,matthewyoung@example.com,7559421083,159,224,Toys,2,186.75,31.28,Los Angeles
2024-09-18,1614,Denise,Pierce,paulanorton@example.net,5744381657,160,209,Beauty,2,524.94,26.77,Dallas
2024-08-11,1758,Douglas,Martinez,ebrady@example.com,7170898547,161,254,Electronics,6,1386.39,59.03,San Jose
2024-02-12,1926,Lisa,Kelly,douglas87@example.com,1413216625,162,318,Beauty,9,1292.31,43.96,Chicago
2024-04-09,1323,Jennifer,Benton,jason62@example.net,3649376835,163,488,Clothing,7,1459.45,69.85,Los Angeles
2023-11-05,1439,Marissa,Ingram,reidamber@example.org,3361135903,164,117,Furniture,9,879.17,59.9,Los Angeles
2024-01-09,1455,Darrell,Chavez,pachecojacqueline@example.org,4052675754,165,381,Clothing,7,603.52,68.22,San Jose
2023-11-01,1497,Carol,Hull,stephaniesoto@example.com,8182760645,166,393,Electronics,4,930.87,30.78,San Antonio
2023-10-08,1594,Margaret,Holloway,allenford@example.com,7024753782,167,438,Toys,7,877.86,5.41,Houston
2024-07-05,1620,Lisa,Barker,ericwang@example.com,7050362617,168,479,Groceries,7,234.1,64.15,Philadelphia
2024-07-09,1429,Alison,Thomas,hhernandez@example.org,9968934604,169,422,Books,3,1114.73,68.93,Dallas
2023-10-29,1200,Andrea,Graham,vanessa73@example.org,9428264766,170,470,Toys,3,690.64,65.72,Philadelphia
2024-01-30,1052,Megan,Johnson,roweariel@example.org,5839312542,171,425,Electronics,4,1430.58,2.01,New York
2024-08-13,1484,Teresa,Garza,lhowe@example.net,5490663237,172,102,Electronics,7,528.62,88.47,Houston
2024-09-14,1011,Justin,Brown,bjordan@example.org,9268368776,173,295,Electronics,5,486.97,8.68,Houston
2024-08-17,1346,Misty,Santos,james27@example.net,7042339278,174,268,Groceries,5,364.54,75.95,San Jose
2024-09-08,1290,Juan,Mclean,salazarmegan@example.org,5868875092,175,461,Clothing,6,411.72,6.36,San Diego
2024-06-20,1808,Leslie,Peters,russell07@example.net,5893483396,176,349,Beauty,5,966.53,37.1,New York
2023-10-05,1286,Nicholas,Richardson,dodsonrandy@example.com,6122343535,177,353,Sports,3,848.28,77.94,Philadelphia
2024-03-11,1344,Amanda,Meadows,andrea65@example.net,4667210206,178,217,Books,7,538.85,7.64,Philadelphia
2024-06-17,1341,Justin,Swanson,travisharmon@example.com,7747351835,179,435,Books,3,425.45,19.0,Houston
2023-10-16,1329,Melissa,Stafford,davisjason@example.com,5157979495,180,444,Groceries,2,265.66,2.29,Dallas
2024-07-24,1052,James,Hall,deannajacobson@example.net,0281552438,181,310,Toys,5,1131.1,69.37,Phoenix
2023-11-14,1893,Kendra,Kane,wramirez@example.net,3956661239,182,192,Books,1,27.02,47.72,Phoenix
2024-04-22,1145,Felicia,Torres,margaretglover@example.org,7815120715,183,156,Furniture,4,882.78,45.97,San Diego
2024-07-16,1308,Roberto,Luna,kelly52@example.net,7276886472,184,484,Clothing,2,1348.74,38.93,Philadelphia
2023-11-01,1982,Annette,Keller,onealshawn@example.net,3968223073,185,302,Electronics,5,727.38,19.23,Los Angeles
2024-02-25,1336,Ronald,Small,trussell@example.com,8581227056,186,199,Sports,3,864.14,87.87,Phoenix
2023-11-09,1378,Brianna,Hood,andersonjohn@example.net,4930270988,187,199,Toys,8,227.58,85.64,Dallas
2024-07-31,1279,Michael,Myers,zmyers@example.org,4347430285,188,130,Toys,8,403.2,14.59,San Jose
2023-10-06,1380,Barbara,Waters,tonya04@example.net,9942911776,189,440,Clothing,8,1197.78,68.12,San Antonio
2024-06-07,1877,Pamela,Berry,stephanie23@example.com,4569804763,190,328,Groceries,7,636.12,78.58,San Jose
2024-05-22,1833,Lauren,Smith,kyle65@example.net,7496696594,191,405,Electronics,7,118.25,59.33,Philadelphia
2024-03-19,1749,Anthony,Mccoy,jacobreeves@example.net,4812576893,192,230,Clothing,5,1478.5,14.33,Los Angeles
2023-10-15,1542,Andrea,Diaz,padillaeric@example.org,0610644194,193,423,Groceries,7,1392.33,52.36,San Diego
2024-07-20,1292,Chad,Garcia,christinejones@example.net,5380221573,194,137,Electronics,8,716.34,83.21,San Diego
2024-08-16,1950,Kimberly,Edwards,warneranthony@example.net,4896622953,195,400,Beauty,8,1196.45,69.26,Dallas
2024-03-17,1033,Alexandra,Page,nicholasdillon@example.org,5922035045,196,378,Electronics,2,816.96,76.23,Dallas
2024-04-26,1662,Kimberly,Cuevas,joyceduncan@example.net,4433964045,197,280,Groceries,4,435.12,74.34,San Diego
2024-04-08,1420,Ronald,Hunt,braunjennifer@example.net,6991112990,198,442,Groceries,9,1271.52,81.13,New York
2024-07-14,1659,Dylan,Ortega,sandrapalmer@example.net,7600978364,199,347,Groceries,5,580.79,4.56,San Jose
2023-11-28,1337,Alexander,James,qmartin@example.net,3820207567,200,142,Groceries,5,478.82,12.61,Chicago
2024-08-20,1273,Kelly,Powers,harriskent@example.net,6723929154,201,328,Beauty,5,237.48,1.86,Philadelphia
2024-06-15,1866,Gary,Williams,jwaller@example.net,3418611472,202,480,Electronics,7,445.58,61.31,Philadelphia
2024-03-22,1255,Antonio,Cooke,jonvaughn@example.org,7001431618,203,371,Toys,9,861.29,39.36,Los Angeles
2024-05-22,1132,Charles,Martinez,cassidy64@example.org,7671366297,204,194,Toys,3,843.17,45.11,San Antonio
2023-12-10,1518,Jonathan,Dominguez,crystalcannon@example.com,3528985538,205,160,Furniture,1,111.73,70.63,Dallas
2024-03-18,1525,Kimberly,Ramirez,williamsthomas@example.net,6244462951,206,159,Groceries,1,1126.14,29.96,San Antonio
2023-11-04,1366,Roy,Maldonado,leonardyates@example.org,0058645880,207,401,Clothing,7,393.01,17.36,Chicago
2024-06-05,1646,Courtney,Beard,fryejulie@example.net,9397527198,208,279,Clothing,1,182.0,34.99,Phoenix
2023-10-13,1336,Jessica,Colon,ryangallagher@example.org,4874867155,209,232,Sports,5,492.37,72.56,Philadelphia
2024-09-21,1416,Andrew,Klein,jonesedward@example.net,3388691952,210,489,Electronics,1,116.23,20.55,New York
2023-09-30,1050,Steven,Flores,xcruz@example.org,9378647164,211,486,Clothing,7,491.95,38.4,San Diego
2024-07-12,1027,Deborah,Fitzpatrick,thomastami@example.com,9151198889,212,154,Beauty,3,458.11,9.82,Chicago
2023-10-10,1258,Rebecca,Salazar,ysnow@example.com,4078555367,213,489,Furniture,2,827.01,67.19,Chicago
2023-12-12,1371,Sandra,Dean,chad59@example.com,2629426511,214,395,Furniture,9,193.92,66.21,San Diego
2023-12-28,1978,Stephen,Griffith,nicholasspencer@example.org,7000245258,215,169,Beauty,3,173.24,56.95,Houston
2024-05-27,1144,Patrick,Reyes,hpotter@example.net,1272612395,216,149,Groceries,4,304.49,56.85,Phoenix
2024-08-12,1537,Samuel,Doyle,zachary95@example.org,8168837022,217,130,Beauty,9,504.22,89.72,Philadelphia
2024-03-29,1417,Karen,Beasley,katherine46@example.org,2130443747,218,495,Groceries,4,662.03,11.16,San Antonio
2024-01-05,1795,Jonathan,Torres,wilsontimothy@example.com,2655394686,219,459,Clothing,2,209.63,89.49,Houston
2024-01-08,1398,Victoria,Baker,matthewstammy@example.net,7764140279,220,249,Furniture,9,925.37,49.33,Phoenix
2024-09-16,1002,Beth,Dudley,danielle09@example.net,7756943519,221,349,Beauty,3,509.32,81.37,Chicago
2024-03-13,1608,Tonya,Mcintyre,anna36@example.com,1108115568,222,100,Books,2,150.24,43.04,Houston
2023-09-30,1532,Albert,Hammond,david23@example.net,6826249463,223,330,Books,7,716.77,12.3,Dallas
2024-06-15,1467,Matthew,Mitchell,michaelcoleman@example.net,9068916360,224,218,Books,6,122.89,5.39,San Diego
2024-03-15,1378,Jeffery,Strickland,johnmolina@example.org,6156603652,225,108,Sports,5,58.9,33.37,San Diego
2024-06-12,1593,Stacy,Morris,usims@example.com,9002126548,226,214,Furniture,6,868.44,13.97,San Jose
2023-10-05,1105,Cheryl,Murphy,nicholaslane@example.com,4946769803,227,139,Clothing,9,1404.94,14.58,New York
2024-05-10,1322,Joshua,Miller,garciatodd@example.org,4799095648,228,300,Toys,5,603.35,56.28,Dallas
2024-06-25,1596,Kimberly,Bell,tjones@example.net,9358443779,229,381,Sports,6,1431.5,89.4,Phoenix
2024-06-07,1462,Jason,Green,pruittzachary@example.com,7868395960,230,334,Furniture,7,233.12,40.13,Los Angeles
2024-05-08,1812,Ryan,Miller,ronald47@example.org,3654523477,231,132,Books,1,45.24,21.27,New York
2023-11-22,1880,Nathaniel,Walker,duncanrenee@example.com,4901253694,232,125,Clothing,7,1217.46,87.53,Chicago
2024-08-06,1737,Eduardo,Davis,fmarsh@example.net,9116302243,233,471,Electronics,6,68.86,43.87,San Antonio
2023-12-14,1104,Jose,Moore,albertwatson@example.org,0738824327,234,396,Beauty,9,97.08,69.82,San Jose
2023-12-02,1962,Jack,Owens,angela76@example.org,3181784783,235,380,Sports,9,1273.66,28.88,Dallas
2024-01-14,1019,Ashley,Morrison,jonestracy@example.org,5336821663,236,298,Furniture,9,1350.81,47.57,Phoenix
2024-06-30,1762,Elizabeth,Martin,amanda72@example.com,6703486589,237,165,Groceries,2,1268.38,51.69,Houston
